#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Ovis aries,Eukaryota;Animals;Mammals,KAZ1,SAMN23421197,PRJNA783179,GCA_022432845.1, Chromosome,2867.73,42.0434,chromosome 1:CM040034.1; chromosome 2:CM040035.1; chromosome 3:CM040036.1; chromosome 4:CM040037.1; chromosome 5:CM040038.1; chromosome 6:CM040039.1; chromosome 7:CM040040.1; chromosome 8:CM040041.1; chromosome 9:CM040042.1; chromosome 10:CM040043.1; chromosome 11:CM040044.1; chromosome 12:CM040045.1; chromosome 13:CM040046.1; chromosome 14:CM040047.1; chromosome 15:CM040048.1; chromosome 16:CM040049.1; chromosome 17:CM040050.1; chromosome 18:CM040051.1; chromosome 19:CM040052.1; chromosome 20:CM040053.1; chromosome 21:CM040054.1; chromosome 22:CM040055.1; chromosome 23:CM040056.1; chromosome 24:CM040057.1; chromosome 25:CM040058.1; chromosome 26:CM040059.1; chromosome X:CM040060.1,JAKJQP01,1765,0,2022-02-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/432/845/GCA_022432845.1_ASM2243284v1,
Gallus gallus,Eukaryota;Animals;Birds,White_Leghorn_3_WL,SAMN20335986,PRJNA777393,GCA_024652995.1, Chromosome,1036.65,42.1505,chromosome 1:CM045249.1; chromosome 2:CM045250.1; chromosome 3:CM045251.1; chromosome 4:CM045252.1; chromosome 5:CM045253.1; chromosome 6:CM045254.1; chromosome 7:CM045255.1; chromosome 8:CM045256.1; chromosome 9:CM045257.1; chromosome 10:CM045258.1; chromosome 11:CM045259.1; chromosome 12:CM045260.1; chromosome 13:CM045261.1; chromosome 14:CM045262.1; chromosome 15:CM045263.1; chromosome 16:CM045264.1; chromosome 17:CM045265.1; chromosome 18:CM045266.1; chromosome 19:CM045267.1; chromosome 20:CM045268.1; chromosome 21:CM045269.1; chromosome 22:CM045270.1; chromosome 23:CM045271.1; chromosome 24:CM045272.1; chromosome 25:CM045273.1; chromosome 26:CM045274.1; chromosome 27:CM045275.1; chromosome 28:CM045276.1; chromosome 30:CM045277.1; chromosome 31:CM045278.1; chromosome 32:CM045279.1; chromosome 33:CM045280.1; chromosome W:CM045281.1; chromosome Z:CM045282.1,JAJMOG01,1355,0,2022-08-14T00:00:00Z,,
Nakaseomyces glabratus,Eukaryota;Fungi;Ascomycetes,DSY565,SAMN06328412,PRJNA374542,GCA_002219195.1, Chromosome,12.7282,38.9031,chromosome A:CM008095.1; chromosome B:CM008096.1; chromosome C:CM008097.1; chromosome D:CM008098.1; chromosome E:CM008099.1; chromosome F:CM008100.1; chromosome G:CM008101.1; chromosome H:CM008102.1; chromosome I:CM008103.1; chromosome K:CM008104.1; chromosome L:CM008105.1; chromosome M:CM008106.1; mitochondrion MT:CM008107.1,MVOF01,24,5297,2017-07-13T00:00:00Z,,
Yarrowia lipolytica PO1f,Eukaryota;Fungi;Ascomycetes,PO1f,SAMN02731087,PRJNA233955,GCA_000590845.2, Chromosome,20.6238,49.0096,chromosome A:CM002778.1; chromosome B:CM002779.1; chromosome C:CM002780.1; chromosome D:CM002781.1; chromosome E:CM002782.1; chromosome F:CM002783.1,JAFI02,6,0,2014-03-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/845/GCA_000590845.2_PO1f_A5_AB_scf,
Drosophila simulans,Eukaryota;Animals;Insects,dsim_28_F0,SAMN33508908,PRJNA939755,GCA_029774875.1, Chromosome,120.906,0,chromosome 2L:CP122235.1; chromosome 2R:CP122236.1; chromosome 3L:CP122237.1; chromosome 3R:CP122238.1; chromosome 4:CP122239.1; chromosome X:CP122240.1,,6,0,2023-04-17T00:00:00Z,,
Pan troglodytes verus,Eukaryota;Animals;Mammals,,SAMD00067074,PRJNA16847,GCA_000002175.2, Chromosome,12.2633,36,chromosome Y:BA000047.1,,2,0,2006-04-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/175/GCA_000002175.2_CCYSCv1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/175/GCF_000002175.1_CCYSCv1
Macaca mulatta,Eukaryota;Animals;Mammals,17573,SAMN02981228,PRJNA12537,GCA_000002255.2, Chromosome,3097.39,38.0269,chromosome 1:CM000308.1; chromosome 2:CM000288.1; chromosome 3:CM000289.1; chromosome 4:CM000290.1; chromosome 5:CM000291.1; chromosome 6:CM000292.1; chromosome 7:CM000293.1; chromosome 8:CM000294.1; chromosome 9:CM000295.1; chromosome 10:CM000296.1; chromosome 11:CM000297.1; chromosome 12:CM000298.1; chromosome 13:CM000299.1; chromosome 14:CM000300.1; chromosome 15:CM000301.1; chromosome 16:CM000302.1; chromosome 17:CM000303.1; chromosome 18:CM000304.1; chromosome 19:CM000305.1; chromosome 20:CM000306.1; chromosome X:CM000307.1,AANU01,124036,0,2006-02-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/255/GCA_000002255.2_Mmul_051212,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/255/GCF_000002255.3_Mmul_051212
Helianthus annuus,Eukaryota;Plants;Land Plants,,SAMN28759088,PRJNA843602,GCA_026651735.1, Chromosome,3046.29,39.569,chromosome 1:CM049050.1; chromosome 2:CM049051.1; chromosome 3:CM049052.1; chromosome 4:CM049053.1; chromosome 5:CM049054.1; chromosome 6:CM049055.1; chromosome 7:CM049056.1; chromosome 8:CM049057.1; chromosome 9:CM049058.1; chromosome 10:CM049059.1; chromosome 11:CM049060.1; chromosome 12:CM049061.1; chromosome 13:CM049062.1; chromosome 14:CM049063.1; chromosome 15:CM049064.1; chromosome 16:CM049065.1; chromosome 17:CM049066.1,JAMPTQ01,298,67963,2022-11-30T00:00:00Z,,
Malus domestica,Eukaryota;Plants;Land Plants,RGTH1,SAMN16283546,PRJNA666203,GCA_022606005.1, Chromosome,754.684,38.1636,chromosome 1:CM040153.1; chromosome 2:CM040154.1; chromosome 3:CM040155.1; chromosome 4:CM040156.1; chromosome 5:CM040157.1; chromosome 6:CM040158.1; chromosome 7:CM040159.1; chromosome 8:CM040160.1; chromosome 9:CM040161.1; chromosome 10:CM040162.1; chromosome 11:CM040163.1; chromosome 12:CM040164.1; chromosome 13:CM040165.1; chromosome 14:CM040166.1; chromosome 15:CM040167.1; chromosome 16:CM040168.1; chromosome 17:CM040169.1,JADGIE01,8974,0,2022-03-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/606/005/GCA_022606005.1_PFR_Mdom_1.0,
Aspergillus flavus,Eukaryota;Fungi;Ascomycetes,NRRL 2999,SAMN14350213,PRJNA607981,GCA_012897115.1, Chromosome,37.0486,47.9915,chromosome 1:CP051027.1; chromosome 2:CP051028.1; chromosome 3:CP051029.1; chromosome 4:CP051030.1; chromosome 5:CP051031.1; chromosome 6:CP051032.1; chromosome 7:CP051033.1; chromosome 8:CP051034.1,,8,0,2020-04-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/897/115/GCA_012897115.1_ASM1289711v1,
Solanum tuberosum,Eukaryota;Plants;Land Plants,,SAMN12826500,PRJNA646008,GCA_014189305.1, Chromosome,863.432,35.416,chromosome 1:CM024729.1; chromosome 2:CM024730.1; chromosome 3:CM024731.1; chromosome 4:CM024732.1; chromosome 5:CM024733.1; chromosome 6:CM024734.1; chromosome 7:CM024735.1; chromosome 8:CM024736.1; chromosome 9:CM024737.1; chromosome 10:CM024738.1; chromosome 11:CM024739.1; chromosome 12:CM024740.1,JACDXM01,3012,0,2020-08-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/189/305/GCA_014189305.1_ASM1418930v1,
Zymoseptoria tritici,Eukaryota;Fungi;Ascomycetes,M4_64,SAMN15516639,PRJNA645795,GCA_017766285.1, Chromosome,38.9171,52.1705,chromosome 1:CP062502.1; chromosome 2:CP062503.1; chromosome 3:CP062504.1; chromosome 4:CP062505.1; chromosome 5:CP062506.1; chromosome 6:CP062507.1; chromosome 7:CP062508.1; chromosome 8:CP062509.1; chromosome 9:CP062510.1; chromosome 10:CP062511.1; chromosome 11:CP062512.1; chromosome 12:CP062513.1; chromosome 13:CP062514.1; chromosome 14:CP062515.1; chromosome 15:CP062516.1; chromosome 16:CP062517.1; chromosome 18:CP062518.1; chromosome 20:CP062519.1; chromosome 21:CP062520.1,,19,0,2021-04-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/766/285/GCA_017766285.1_ASM1776628v1,
Pyrenophora tritici-repentis,Eukaryota;Fungi;Ascomycetes,Ptr90-2,SAMN13951327,PRJNA315205,GCA_022837075.1, Chromosome,39.7196,50.4574,chromosome 2:CM040887.1; chromosome 4:CM040888.1; chromosome 6:CM040889.1; chromosome 9:CM040890.1,JAAFOX01,162,14224,2022-04-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/837/075/GCA_022837075.1_CUR_Ptr902_1.0,
Fusarium oxysporum f. sp. cubense,Eukaryota;Fungi;Ascomycetes,VCG0120,SAMN17147622,PRJNA687504,GCA_016802205.1, Chromosome,61.3807,48.2915,chromosome 1:CM028813.1; chromosome 2:CM028814.1; chromosome 3:CM028815.1; chromosome 4:CM028816.1; chromosome 5:CM028817.1; chromosome 6:CM028818.1; chromosome 7:CM028819.1; chromosome 8:CM028820.1; chromosome 9:CM028821.1; chromosome 10:CM028822.1; chromosome 11:CM028823.1; chromosome 12:CM028824.1; chromosome 13:CM028825.1; chromosome 14:CM028826.1; chromosome 15:CM028827.1,JAEMVV01,85,0,2021-02-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/802/205/GCA_016802205.1_NRCB_FocSTR4_VCG0120,
Cucumis sativus,Eukaryota;Plants;Land Plants,,SAMN15829362,PRJNA657438,GCA_016161765.1, Chromosome,243.737,33.1717,chromosome 1:CM028024.1; chromosome 2:CM028025.1; chromosome 3:CM028026.1; chromosome 4:CM028027.1; chromosome 5:CM028028.1; chromosome 6:CM028029.1; chromosome 7:CM028030.1,JACOQM01,830,0,2020-12-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/765/GCA_016161765.1_Hx117_PacBio_assembly,
Pyrenophora teres f. teres,Eukaryota;Fungi;Ascomycetes,15A,SAMN09393838,PRJNA434142,GCA_008086755.1, Chromosome,45.3192,47.7934,chromosome 1:CM017833.1; chromosome 2:CM017834.1; chromosome 3:CM017835.1; chromosome 4:CM017836.1; chromosome 5:CM017837.1; chromosome 6:CM017838.1; chromosome 7:CM017839.1; chromosome 8:CM017840.1; chromosome 9:CM017841.1; chromosome 10:CM017842.1; chromosome 11:CM017843.1; chromosome 12:CM017844.1; mitochondrion MT:CM017845.1,VBVL01,119,0,2019-08-26T00:00:00Z,,
Cucumis melo,Eukaryota;Plants;Land Plants,,SAMN18958767,PRJNA726743,GCA_026262095.1, Chromosome,365.123,33.8836,chromosome 1:CM048315.1; chromosome 2:CM048316.1; chromosome 3:CM048317.1; chromosome 4:CM048318.1; chromosome 5:CM048319.1; chromosome 6:CM048320.1; chromosome 7:CM048321.1; chromosome 8:CM048322.1; chromosome 9:CM048323.1; chromosome 10:CM048324.1; chromosome 11:CM048325.1; chromosome 12:CM048326.1,JAMDGC01,205,0,2022-11-21T00:00:00Z,,
Citrus sinensis,Eukaryota;Plants;Land Plants,,SAMN07311581,PRJNA321100,GCA_019143665.1, Chromosome,310.567,34.1655,chromosome 1:CM032671.1; chromosome 2:CM032672.1; chromosome 3:CM032673.1; chromosome 4:CM032674.1; chromosome 5:CM032675.1; chromosome 6:CM032676.1; chromosome 7:CM032677.1; chromosome 8:CM032678.1; chromosome 9:CM032679.1,JAFVMJ01,283,0,2021-07-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/143/665/GCA_019143665.1_ASM1914366v1,
Gossypium hirsutum,Eukaryota;Plants;Land Plants,,SAMN03342414,PRJNA320881,GCA_000987745.1, Chromosome,2189.14,34.8564,chromosome 1:CM003250.1; chromosome 2:CM003251.1; chromosome 3:CM003252.1; chromosome 4:CM003253.1; chromosome 5:CM003254.1; chromosome 6:CM003255.1; chromosome 7:CM003256.1; chromosome 8:CM003257.1; chromosome 9:CM003258.1; chromosome 10:CM003259.1; chromosome 11:CM003260.1; chromosome 12:CM003261.1; chromosome 13:CM003262.1; chromosome 14:CM003263.1; chromosome 15:CM003264.1; chromosome 16:CM003265.1; chromosome 17:CM003266.1; chromosome 18:CM003267.1; chromosome 19:CM003268.1; chromosome 20:CM003269.1; chromosome 21:CM003270.1; chromosome 22:CM003271.1; chromosome 23:CM003272.1; chromosome 24:CM003273.1; chromosome 25:CM003274.1; chromosome 26:CM003275.1,LBLM01,9148,0,2015-04-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/745/GCA_000987745.1_ASM98774v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/745/GCF_000987745.1_ASM98774v1
Capsicum annuum,Eukaryota;Plants;Land Plants,,SAMN31130557,PRJNA706772,GCA_027073615.1, Chromosome,2915.06,35.146,chromosome 1:CM049632.1; chromosome 2:CM049633.1; chromosome 3:CM049634.1; chromosome 4:CM049635.1; chromosome 5:CM049636.1; chromosome 6:CM049637.1; chromosome 7:CM049638.1; chromosome 8:CM049639.1; chromosome 9:CM049640.1; chromosome 10:CM049641.1; chromosome 11:CM049642.1; chromosome 12:CM049643.1,JAPAFN01,323,0,2022-12-18T00:00:00Z,,
Kluyveromyces marxianus,Eukaryota;Fungi;Ascomycetes,B0399,SAMN04958224,PRJNA320854,GCA_001660455.1, Chromosome,11.5379,40.85,chromosome 1:CM004405.1; chromosome MT:CM004413.1; chromosome 2:CM004406.1; chromosome 3:CM004407.1; chromosome 4:CM004408.1; chromosome 5:CM004409.1; chromosome 6:CM004410.1; chromosome 7:CM004411.1; chromosome 8:CM004412.1,LXZY01,109,0,2016-06-03T00:00:00Z,,
Cenchrus americanus,Eukaryota;Plants;Land Plants,,SAMN20372181,PRJNA749489,GCA_020739575.1, Chromosome,1937.98,49.0108,chromosome 1:CM036284.1; chromosome 2:CM036285.1; chromosome 3:CM036286.1; chromosome 4:CM036287.1; chromosome 5:CM036288.1; chromosome 6:CM036289.1; chromosome 7:CM036290.1,JAINUO01,138,0,2021-11-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/739/575/GCA_020739575.1_ASM2073957v1,
Camellia sinensis var. assamica,Eukaryota;Plants;Land Plants,UPASI-3,SAMN19222200,PRJNA730185,GCA_020536865.1, Chromosome,3062.77,38.5198,chromosome 1:CM036037.1; chromosome 2:CM036038.1; chromosome 3:CM036039.1; chromosome 4:CM036040.1; chromosome 5:CM036041.1; chromosome 6:CM036042.1; chromosome 7:CM036043.1; chromosome 8:CM036044.1; chromosome 9:CM036045.1; chromosome 10:CM036046.1; chromosome 11:CM036047.1; chromosome 12:CM036048.1; chromosome 13:CM036049.1; chromosome 14:CM036050.1; chromosome 15:CM036051.1,JAHQJZ01,163,0,2021-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/865/GCA_020536865.1_ASM2053686v1,
Raphanus sativus var. oleiformis,Eukaryota;Plants;Land Plants,YMYLB,SAMN15568235,PRJNA646918,GCA_019705865.1, Chromosome,514.662,37.2557,chromosome 1:CM033926.1; chromosome 2:CM033927.1; chromosome 3:CM033928.1; chromosome 4:CM033929.1; chromosome 5:CM033930.1; chromosome 6:CM033931.1; chromosome 7:CM033932.1; chromosome 8:CM033933.1; chromosome 9:CM033934.1,JACZFT01,46,0,2021-08-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/865/GCA_019705865.1_IVFCAAS_Rs02_1.0,
Raphanus sativus var. niger,Eukaryota;Plants;Land Plants,ECJ18-F-1,SAMN15568636,PRJNA646918,GCA_019705885.1, Chromosome,465.105,36.7673,chromosome 1:CM033989.1; chromosome 2:CM033990.1; chromosome 3:CM033991.1; chromosome 4:CM033992.1; chromosome 5:CM033993.1; chromosome 6:CM033994.1; chromosome 7:CM033995.1; chromosome 8:CM033996.1; chromosome 9:CM033997.1,JADEVC01,55,0,2021-08-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/885/GCA_019705885.1_IVFCAAS_Rs03_1.0,
Camellia sinensis var. assamica,Eukaryota;Plants;Land Plants,TES-34,SAMN19222203,PRJNA730185,GCA_020536795.1, Chromosome,3062.62,38.5198,chromosome 1:CM035992.1; chromosome 2:CM035993.1; chromosome 3:CM035994.1; chromosome 4:CM035995.1; chromosome 5:CM035996.1; chromosome 6:CM035997.1; chromosome 7:CM035998.1; chromosome 8:CM035999.1; chromosome 9:CM036000.1; chromosome 10:CM036001.1; chromosome 11:CM036002.1; chromosome 12:CM036003.1; chromosome 13:CM036004.1; chromosome 14:CM036005.1; chromosome 15:CM036006.1,JAHQJW01,163,0,2021-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/795/GCA_020536795.1_ASM2053679v1,
Cenchrus americanus,Eukaryota;Plants;Land Plants,,SAMN04124419,PRJNA294988,GCA_002174835.2, Chromosome,1816.95,48.0881,chromosome 1:CM007982.2; chromosome 2:CM007983.2; chromosome 3:CM007984.2; chromosome 4:CM007985.2; chromosome 5:CM007986.2; chromosome 6:CM007987.2; chromosome 7:CM007988.2,LKME02,52033,0,2017-06-06T00:00:00Z,,
Spodoptera frugiperda,Eukaryota;Animals;Insects,Faw-zju,SAMN13324450,PRJNA647344,GCA_011064685.2, Chromosome,485.97,36.4145,chromosome 1:NC_049710.1/CM021665.1; chromosome 2:NC_049711.1/CM021666.1; chromosome 3:NC_049712.1/CM021667.1; chromosome 4:NC_049713.1/CM021668.1; chromosome 5:NC_049714.1/CM021669.1; chromosome 6:NC_049715.1/CM021670.1; chromosome 7:NC_049716.1/CM021671.1; chromosome 8:NC_049717.1/CM021672.1; chromosome 9:NC_049718.1/CM021673.1; chromosome 10:NC_049719.1/CM021674.1; chromosome 11:NC_049720.1/CM021675.1; chromosome 12:NC_049721.1/CM021676.1; chromosome 13:NC_049722.1/CM021677.1; chromosome 14:NC_049723.1/CM021678.1; chromosome 15:NC_049724.1/CM021679.1; chromosome 16:NC_049725.1/CM021680.1; chromosome 17:NC_049726.1/CM021681.1; chromosome 18:NC_049727.1/CM021682.1; chromosome 19:NC_049728.1/CM021683.1; chromosome 20:NC_049729.1/CM021684.1; chromosome 21:NC_049730.1/CM021685.1; chromosome 22:NC_049731.1/CM021686.1; chromosome 23:NC_049732.1/CM021687.1; chromosome 24:NC_049733.1/CM021688.1; chromosome 25:NC_049734.1/CM021689.1; chromosome 26:NC_049735.1/CM021690.1; chromosome 27:NC_049736.1/CM021691.1; chromosome 28:NC_049737.1/CM021692.1; chromosome 29:NC_049738.1/CM021693.1; chromosome 30:NC_049739.1/CM021694.1; chromosome 31:NC_049740.1/CM021695.1; chromosome 32:NC_049741.1/CM021696.1,WMCG01,85,30793,2020-03-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/064/685/GCA_011064685.2_ZJU_Sfru_1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/064/685/GCF_011064685.2_ZJU_Sfru_1.1
Capsicum annuum,Eukaryota;Plants;Land Plants,,SAMN31130558,PRJNA706772,GCA_027073635.1, Chromosome,3040.72,35.2889,chromosome 1:CM049656.1; chromosome 2:CM049657.1; chromosome 3:CM049658.1; chromosome 4:CM049659.1; chromosome 5:CM049660.1; chromosome 6:CM049661.1; chromosome 7:CM049662.1; chromosome 8:CM049663.1; chromosome 9:CM049664.1; chromosome 10:CM049665.1; chromosome 11:CM049666.1; chromosome 12:CM049667.1,JAPAFO01,166,0,2022-12-18T00:00:00Z,,
Gossypium hirsutum,Eukaryota;Plants;Land Plants,,SAMN07692727,PRJNA411996,GCA_002504345.1, Chromosome,169.285,35.8434,chromosome A11:CP023743.1; chromosome A12:CP023745.1; chromosome D11:CP023744.1; chromosome D12:CP023742.1,,4,0,2017-10-10T00:00:00Z,,
Cucumis melo,Eukaryota;Plants;Land Plants,,SAMN18958762,PRJNA775626,GCA_020920065.2, Chromosome,365.54,33.8066,chromosome 1:CM037186.2; chromosome 2:CM037187.2; chromosome 3:CM037188.2; chromosome 4:CM037189.2; chromosome 5:CM037190.2; chromosome 6:CM037191.2; chromosome 7:CM037192.2; chromosome 8:CM037193.2; chromosome 9:CM037194.2; chromosome 10:CM037195.2; chromosome 11:CM037196.2; chromosome 12:CM037197.2,JAJGOO02,63,0,2021-11-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/920/065/GCA_020920065.2_DUL_pseudomol_v2.0,
Cucumis sativus,Eukaryota;Plants;Land Plants,,SAMN15829355,PRJNA657438,GCA_016163705.1, Chromosome,239.412,33.3371,chromosome 1:CM028067.1; chromosome 2:CM028068.1; chromosome 3:CM028069.1; chromosome 4:CM028070.1; chromosome 5:CM028071.1; chromosome 6:CM028072.1; chromosome 7:CM028073.1,JACOQT01,758,0,2020-12-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/163/705/GCA_016163705.1_Gy14_PacBio_assembly,
Fusarium oxysporum f. sp. cubense,Eukaryota;Fungi;Ascomycetes,BC2-4,SAMN12206882,PRJNA552452,GCA_014282265.3, Chromosome,63.2207,48.3908,chromosome 1:CM026304.2; chromosome 2:CM026305.2; chromosome 3:CM026306.2; chromosome 4:CM026307.2; chromosome 5:CM026308.2; chromosome 6:CM026309.2; chromosome 7:CM026310.2; chromosome 8:CM026311.2; chromosome 9:CM026312.2; chromosome 10:CM026313.2; chromosome 11:CM026314.2; chromosome 12:CM026315.2; chromosome 13:CM026316.2; chromosome 14:CM026317.2; chromosome 15:CM026318.2,VYQK03,88,0,2020-08-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/265/GCA_014282265.3_NRCB_FocR1_VCG01213_16,
Pyrenophora tritici-repentis,Eukaryota;Fungi;Ascomycetes,86-124,SAMN07420927,PRJNA315205,GCA_003231425.2, Chromosome,41.1502,50.8,chromosome 8:CM040484.1,NRDI02,139,14272,2018-06-15T00:00:00Z,,
Zymoseptoria tritici,Eukaryota;Fungi;Ascomycetes,WAI323,SAMN04216885,PRJNA604047,GCA_019443885.1, Chromosome,39.9548,52.1126,chromosome 1:CP051570.1; chromosome 2:CP051571.1; chromosome 3:CP051572.1; chromosome 4:CP051573.1; chromosome 5:CP051574.1; chromosome 6:CP051575.1; chromosome 7:CP051576.1; chromosome 8:CP051577.1; chromosome 9:CP051578.1; chromosome 10:CP051579.1; chromosome 11:CP051580.1; chromosome 12:CP051581.1; chromosome 13:CP051582.1; chromosome 15:CP051583.1; chromosome 16:CP051584.1; chromosome 17:CP051585.1; chromosome 19:CP051586.1; chromosome 20:CP051587.1; chromosome 21:CP051588.1,,19,0,2021-08-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/885/GCA_019443885.1_ASM1944388v1,
Solanum tuberosum,Eukaryota;Plants;Land Plants,,SAMN12826500,PRJNA573826,GCA_014189475.1, Chromosome,810.123,35.2471,chromosome 1:CM024741.1; chromosome 2:CM024742.1; chromosome 3:CM024743.1; chromosome 4:CM024744.1; chromosome 5:CM024745.1; chromosome 6:CM024746.1; chromosome 7:CM024747.1; chromosome 8:CM024748.1; chromosome 9:CM024749.1; chromosome 10:CM024750.1; chromosome 11:CM024751.1; chromosome 12:CM024752.1,JACDXL01,12,0,2020-08-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/189/475/GCA_014189475.1_ASM1418947v1,
Aspergillus flavus,Eukaryota;Fungi;Ascomycetes,A1,SAMN14350204,PRJNA607981,GCA_012896995.1, Chromosome,37.2545,47.962,chromosome 1:CP051059.1; chromosome 2:CP051060.1; chromosome 3:CP051061.1; chromosome 4:CP051062.1; chromosome 5:CP051063.1; chromosome 6:CP051064.1; chromosome 7:CP051065.1; chromosome 8:CP051066.1,,8,0,2020-04-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/896/995/GCA_012896995.1_ASM1289699v1,
Malus domestica,Eukaryota;Plants;Land Plants,PI392303,SAMN13385708,PRJNA599187,GCA_028456065.1, Chromosome,577.21,38.166,chromosome 1:CM051888.1; chromosome 2:CM051889.1; chromosome 3:CM051890.1; chromosome 4:CM051891.1; chromosome 5:CM051892.1; chromosome 6:CM051893.1; chromosome 7:CM051894.1; chromosome 8:CM051895.1; chromosome 9:CM051896.1; chromosome 10:CM051897.1; chromosome 11:CM051898.1; chromosome 12:CM051899.1; chromosome 13:CM051900.1; chromosome 14:CM051901.1; chromosome 15:CM051902.1; chromosome 16:CM051903.1; chromosome 17:CM051904.1,WWNJ01,17,0,2023-02-03T00:00:00Z,,
Macaca mulatta,Eukaryota;Animals;Mammals,17573,SAMN02981228,PRJNA12537,GCA_000002255.2, Chromosome,3097.37,42.2,,AANU01,124035,0,2006-02-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/255/GCA_000002255.2_Mmul_051212,
Drosophila simulans,Eukaryota;Animals;Insects,dsim_27_F0,SAMN33508906,PRJNA939759,GCA_029774895.1, Chromosome,120.906,0,chromosome 2L:CP122217.1; chromosome 2R:CP122218.1; chromosome 3L:CP122219.1; chromosome 3R:CP122220.1; chromosome 4:CP122221.1; chromosome X:CP122222.1,,6,0,2023-04-17T00:00:00Z,,
Nakaseomyces glabratus,Eukaryota;Fungi;Ascomycetes,P35-2,SAMN18499594,PRJNA717653,GCA_025331905.1, Chromosome,12.6862,38.9996,chromosome A:CM046266.1; chromosome B:CM046267.1; chromosome C:CM046268.1; chromosome D:CM046269.1; chromosome F:CM046270.1; chromosome G:CM046271.1; chromosome H:CM046272.1; chromosome I:CM046273.1; chromosome J:CM046274.1; chromosome K:CM046275.1; chromosome L:CM046276.1; chromosome M:CM046277.1,JAJQVL01,14,5325,2022-09-20T00:00:00Z,,
Equus caballus,Eukaryota;Animals;Mammals,Twilight,SAMN02953672,PRJNA18661,GCA_000002305.1, Chromosome,2474.93,41.6,,AAWR02,9688,0,2007-01-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/305/GCA_000002305.1_EquCab2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/305/GCF_000002305.2_EquCab2.0
